Product Name,Long Description,Store Retail Price,Points,,
Astrobrights Colored Paper,Assorted Colors - 20 sheets per pack,1.34,5,,
Backpacks,1 per pack,20,10,,
Ball Point Pens,"Assorted Colors (Red, Blue, Black) - 10 Pack",2.69,3,,
Binder Clips,Assorted Sizes - 10 Pack ,3.3,5,,
Binders,Assorted colors & sizes,3.27,2,,
Buckets,"Assorted Colors (Red, Yellow, Blue)",11.33,5,,
Bulletin Board Sets,Assorted Colors and Designs,20,10,,
Buzzer,1 per pack,1.25,2,,
Calendar Posters,Assorted Designs,15,10,,
Cardstock,Assorted Colors - 20 sheets per pack,5.4,5,,
Chair Bands,2 per pack,0.95,3,,
Classroom Posters,Assorted Designs,10,10,,
Clipboards,1 per pack,3.5,5,,
Clorox To Go Wipes - Individual,10 per pack,1.6,2,,
Clothes Pins,Wooden or Plastic - 10 per pack,3.47,1,,
Colored Pencils,12 Pack ,2,4,,
Composition Notebooks,,4.25,2,,
Construction Paper,Assorted Colors - 60 pages per pack,0.65,5,,
Copy Paper ,1 Ream - White,8,10,,
Counting Chips,20 chips per pack,2,5,,
Crayons - 16 Count,16 Pack - Assorted Colors,1.44,4,,
Crayons - 24 Count,24 Pack - Assorted Colors,2.5,6,,
Crayons - 8 Count,8 Pack - Assorted Colors,0.88,2,,
Crayons - Jumbo,8 Pack - Assorted Colors,1.37,3,,
Crayons - Large,8 count,1.15,3,,
Desk Name Plate,,5.5,5,,
Dice - Regular,10 per pack,2.5,5,,
Dice - XL ,1 per pack,0.33,2,,
Dividers,,1.25,5,,
Dot Markers,4 pack,1.67,3,,
Dry Erase Boards,Dry Erase Lap Boards,1.65,2,,
Dry Erase Markers - Fine Tip,Assorted Colors - 3 Pack,4.99,3,,
Dry Erase Markers - Mini ,10 per pack,1,3,,
Dry Erase Markers -Broad Tip,4 per pack,5.99,3,,
Dry Erase Pockets ,Dry Erase Pockets Reuseable Sleeves,0.59,2,,
Dry Erasers,1 per pack,0.25,2,,
Earbuds,1 per pack ,7,5,,
Easel Pads,1 per pack,17,20,,
Electric Pencil Sharpeners,1 per pack,25,20,,
Elmer's Jumbo Marker,,7,1,,
Erasers - Cap,Assorted Colors - 10 per pack,1.17,1,,
Erasers - Pink Pearl,3 per pack,4,2,,
Ethernet Cords,,10,5,,
Face Masks,Disposable Face Masks,5,2,,
Felt Fabric,,2,2,,
File Folders,Assorted Colors,1.79,2,,
Flow Kits,Flow Kits donated by Diaper Bank,0,0,,
Foam Erasers,1 per pack,2.67,1,,
Gloves,Elmer's Glue ,5,2,,
Glue - Liquid,,2,4,,
Glue Sticks,3 per pack,2,5,,
Googly Eyes,,2.5,1,,
Graphing Paper ,Graphing Paper - Loose Leaf,1.5,3,,
Guided Reading Strips,2 per pack,0.67,3,,
Hand Sanitizer,1 per pack,1.5,2,,
Headphones,1 per pack,2,5,,
Highlighter + Flag,2 per pack,3.88,5,,
Highlighters ,4 per pack,3.5,4,,
Highlights Chart Set,,22,25,,
ID Badge Holder,Clear,6.79,5,,
Index Cards,Assorted Colors & Sizes,1.79,5,,
Kitchen Timers,,10,5,,
Laminating Pouches,5 per pack,2,5,,
Lead Refills,3 refills per pack,3,2,,
Legal Pads,"Assorted Colors (White, Yellow)",1.25,5,,
Magnets,Assorted Sizes & Colors - 3pack (large) & 4pack (small),,3,,
Maps,,2,2,,
Markers - Broad Tip,Crayola 10 Pack ,5.8,4,,
Markers - Fine Tip ,Crayola 10 Pack ,4.57,3,,
Mechanical Pencils,12 pencils per pack,3.65,2,,
Mod Podge,,6.98,10,,
Mounting Tape ,Varying Sizes,15,10,,
Notebook Paper,,1.5,2,,
Notebooks,,2.5,2,,
One Point Bin ,Includes new items that are not carried in the store - a bargain bin,3,1,,
Paint - Bottles,,3,3,,
Paint Kits,,1.67,2,,
Paper Clips,50 paper clips per pack,3,3,,
Paper Trimmer,,22,25,,
Pencil Cases,Assorted colors & sizes,1.5,3,,
Pencil Grips,Assorted Colors - 5 per pack,3.5,2,,
Pencil Sharpener,10 per pack,1.1,2,,
Pencil Sharpener - Two Holes,Assorted Colors,1.07,2,,
Pencils,12 Pack ,3.79,2,,
Pencils - Twist N Write,1 per pack,1.85,2,,
Play Doh,,0.67,1,,
Playing Cards,1 stack of cards,3.25,3,,
Pom Poms,50 per pack,1.76,1,,
Post It Flags ,,5.98,5,,
Post It Planner Notes,,6.32,5,,
Power Bank Charger,,10,15,,
Recognition Awards,Assorted Designs,15,5,,
Retractable Badge Holder,,5,2,,
Rubber Bands,20 per pack,2.5,1,,
Rubix Cubes,,1.5,3,,
